t_s,cmd_hz,meas_hz,meas_a
0.0009,600.000,592.90,4.80
0.0761,900.000,592.90,4.80
0.1057,900.000,592.90,4.80
0.1773,900.000,592.90,4.80
0.2057,900.000,592.90,4.80
0.2762,900.000,592.90,4.80
0.3036,900.000,592.90,4.80
0.3761,900.000,592.90,4.80
0.4070,900.000,598.80,5.10
0.4759,900.000,598.80,5.10
0.5058,900.000,598.80,5.10
0.5761,900.000,598.80,5.10
0.6057,900.000,598.80,5.10
0.6776,900.000,625.40,5.70
0.7060,900.000,625.40,5.70
0.7759,900.000,625.40,5.70
0.8043,900.000,625.40,5.70
0.8763,900.000,625.40,5.70
0.9074,900.000,646.00,6.00
0.9781,900.000,657.80,6.10
1.0022,900.000,657.80,6.10
1.0763,900.000,657.80,6.10
1.1060,900.000,657.80,6.10
1.1763,900.000,657.80,6.10
1.2057,900.000,684.40,6.20
1.2761,900.000,684.40,6.20
1.3059,900.000,684.40,6.20
1.3763,900.000,684.40,6.20
1.4011,900.000,684.40,6.20
1.4777,900.000,719.80,6.50
1.5057,900.000,719.80,6.50
1.5762,900.000,719.80,6.50
1.6059,900.000,719.80,6.50
1.6759,900.000,719.80,6.50
1.7066,900.000,746.30,6.60
1.7761,900.000,746.30,6.60
1.8044,900.000,746.30,6.60
1.8761,900.000,746.30,6.60
1.9057,900.000,746.30,6.60
1.9779,900.000,781.80,6.90
2.0050,900.000,781.80,6.90
2.0762,900.000,781.80,6.90
2.1018,900.000,781.80,6.90
2.1762,900.000,781.80,6.90
2.2073,900.000,805.40,7.10
2.2762,900.000,805.40,7.10
2.3058,900.000,805.40,7.10
2.3761,900.000,805.40,7.10
2.4009,900.000,805.40,7.10
2.4776,900.000,843.70,7.30
2.5055,900.000,843.70,7.30
2.5761,900.000,843.70,7.30
2.6058,900.000,843.70,7.30
2.6763,900.000,843.70,7.30
2.7073,900.000,867.30,7.50
2.7761,900.000,867.30,7.50
2.8011,900.000,867.30,7.50
2.8761,900.000,867.30,7.50
2.9020,900.000,867.30,7.50
2.9778,900.000,888.00,7.00
3.0057,900.000,888.00,7.00
3.0760,900.000,888.00,7.00
3.1058,900.000,888.00,7.00
3.1762,900.000,888.00,7.00
3.2072,900.000,893.80,6.80
3.2762,900.000,893.80,6.80
3.3059,900.000,893.80,6.80
3.3762,900.000,893.80,6.80
3.4058,900.000,893.80,6.80
3.4778,900.000,893.80,6.70
3.5048,900.000,893.80,6.70
3.5763,900.000,893.80,6.70
3.6017,900.000,893.80,6.70
3.6761,900.000,893.80,6.70
3.7008,900.000,893.80,6.70
3.7775,900.000,893.80,6.70
3.8008,900.000,893.80,6.70
3.8763,900.000,893.80,6.70
3.9058,900.000,893.80,6.70
3.9764,900.000,893.80,6.70
4.0057,900.000,893.80,6.70
4.0763,900.000,893.80,6.70
4.1058,900.000,893.80,6.70
4.1762,900.000,893.80,6.70
4.2072,900.000,893.80,6.70
4.2763,900.000,893.80,6.70
4.3057,900.000,893.80,6.70
4.3761,900.000,893.80,6.70
4.4057,900.000,893.80,6.70
4.4776,900.000,893.80,6.70
4.5057,900.000,893.80,6.70
4.5764,900.000,893.80,6.70
4.6059,900.000,893.80,6.70
4.6763,900.000,893.80,6.70
4.7071,900.000,893.80,6.70
4.7761,900.000,893.80,6.70
4.8057,900.000,893.80,6.70
4.8763,900.000,893.80,6.70
4.9058,900.000,893.80,6.70
4.9777,900.000,893.80,6.70
5.0059,900.000,893.80,6.70
5.0763,900.000,893.80,6.70
5.1053,900.000,893.80,6.70
5.1763,900.000,893.80,6.70
5.2057,900.000,893.80,6.70
5.2778,900.000,893.80,6.70
5.3057,900.000,893.80,6.70
5.3764,900.000,893.80,6.70
5.4058,900.000,893.80,6.70
5.4764,900.000,893.80,6.70
5.5072,900.000,893.80,6.70
5.5762,900.000,893.80,6.70
5.6058,900.000,893.80,6.70
5.6764,900.000,893.80,6.70
5.7058,900.000,893.80,6.70
5.7775,900.000,893.80,6.70
5.8056,900.000,893.80,6.70
5.8764,900.000,893.80,6.70
5.9058,900.000,893.80,6.70
5.9764,900.000,893.80,6.70
6.0073,900.000,893.80,6.70
6.0763,900.000,893.80,6.70
6.1059,900.000,893.80,6.70
6.1763,900.000,893.80,6.70
6.2058,900.000,893.80,6.70
6.2781,900.000,893.80,6.70
6.3051,900.000,893.80,6.70
6.3763,900.000,893.80,6.70
6.4057,900.000,893.80,6.70
6.4763,900.000,893.80,6.70
6.5073,900.000,893.80,6.70
6.5763,900.000,893.80,6.70
6.6058,900.000,893.80,6.70
6.6764,900.000,893.80,6.70
6.7057,900.000,893.80,6.70
6.7779,900.000,893.80,6.70
6.8030,900.000,893.80,6.70
6.8762,900.000,893.80,6.70
6.9021,900.000,893.80,6.70
6.9764,900.000,893.80,6.70
7.0071,900.000,893.80,6.70
7.0763,900.000,893.80,6.70
7.1057,900.000,893.80,6.70
7.1765,900.000,893.80,6.70
7.2035,900.000,893.80,6.70
7.2780,900.000,893.80,6.70
7.3058,900.000,893.80,6.70
7.3764,900.000,893.80,6.70
7.4011,900.000,893.80,6.70
7.4763,900.000,893.80,6.70
7.5073,900.000,893.80,6.70
7.5763,900.000,893.80,6.70
7.6056,900.000,893.80,6.70
7.6765,900.000,893.80,6.70
7.7021,900.000,893.80,6.70
7.7770,900.000,893.80,6.70
7.8042,900.000,893.80,6.70
7.8763,900.000,893.80,6.70
7.9056,900.000,893.80,6.70
7.9763,900.000,893.80,6.70
8.0071,900.000,893.80,6.70
8.0764,900.000,893.80,6.70
8.1056,900.000,893.80,6.70
8.1763,900.000,893.80,6.70
8.2057,900.000,893.80,6.70
8.2770,900.000,893.80,6.70
8.3026,900.000,893.80,6.70
8.3762,900.000,893.80,6.70
8.4066,900.000,893.80,6.70
8.4762,900.000,893.80,6.70
8.5064,900.000,893.80,6.70
8.5776,900.000,893.80,6.70
8.6023,900.000,893.80,6.70
8.6764,900.000,893.80,6.70
8.7058,900.000,893.80,6.70
8.7763,900.000,893.80,6.70
8.8030,900.000,893.80,6.70
8.8764,900.000,893.80,6.70
8.9027,900.000,893.80,6.70
8.9765,900.000,893.80,6.70
9.0072,900.000,893.80,6.70
9.0764,900.000,893.80,6.70
9.1058,900.000,893.80,6.70
9.1764,900.000,893.80,6.70
9.2058,900.000,893.80,6.70
9.2764,900.000,893.80,6.70
9.3037,900.000,893.80,6.70
9.3764,900.000,893.80,6.70
9.4031,900.000,893.80,6.70
9.4765,900.000,893.80,6.70
9.5072,900.000,893.80,6.70
9.5765,900.000,893.80,6.70
9.6014,900.000,893.80,6.70
9.6764,900.000,893.80,6.70
9.7054,900.000,893.80,6.70
9.7763,900.000,893.80,6.70
9.8021,900.000,893.80,6.70
9.8764,900.000,893.80,6.70
9.9058,900.000,893.80,6.70
9.9763,900.000,893.80,6.70
10.0064,900.000,893.80,6.70
10.0766,900.000,893.80,6.70
10.1059,900.000,893.80,6.70
10.1767,900.000,893.80,6.70
10.2029,900.000,893.80,6.70
10.2763,900.000,893.80,6.70
10.3069,900.000,893.80,6.70
10.3765,900.000,893.80,6.70
10.4039,900.000,893.80,6.70
10.4764,900.000,893.80,6.70
10.5058,900.000,893.80,6.70
10.5781,900.000,893.80,6.70
10.6061,900.000,893.80,6.70
10.6763,900.000,893.80,6.70
10.7058,900.000,893.80,6.70
10.7768,900.000,893.80,6.70
10.8040,900.000,893.80,6.70
10.8765,900.000,893.80,6.70
10.9032,900.000,893.80,6.70
10.9766,900.000,893.80,6.70
11.0069,900.000,893.80,6.70
11.0765,900.000,893.80,6.70
11.1036,900.000,893.80,6.70
11.1766,900.000,893.80,6.70
11.2007,900.000,893.80,6.70
11.2766,900.000,893.80,6.70
11.3074,900.000,893.80,6.60
11.3766,900.000,893.80,6.60
11.4019,900.000,893.80,6.60
11.4766,900.000,893.80,6.60
11.5058,900.000,893.80,6.60
11.5788,900.000,893.80,6.60
11.6055,900.000,893.80,6.60
11.6764,900.000,893.80,6.60
11.7057,900.000,893.80,6.60
11.7765,900.000,893.80,6.60
11.8068,900.000,893.80,6.70
11.8765,900.000,893.80,6.70
11.9057,900.000,893.80,6.70
11.9767,900.000,893.80,6.70
12.0015,900.000,893.80,6.70
12.0783,900.000,893.80,6.70
12.1057,900.000,893.80,6.70
12.1768,900.000,893.80,6.70
12.2061,900.000,893.80,6.70
12.2767,900.000,893.80,6.70
12.3053,900.000,893.80,6.70
12.3778,900.000,893.80,6.60
12.4062,900.000,893.80,6.60
12.4765,900.000,893.80,6.60
12.5058,900.000,893.80,6.60
12.5765,900.000,893.80,6.60
12.6070,900.000,893.80,6.70
12.6766,900.000,893.80,6.70
12.7025,900.000,893.80,6.70
12.7766,900.000,893.80,6.70
12.8058,900.000,893.80,6.70
12.8782,900.000,893.80,6.60
12.9039,900.000,893.80,6.60
12.9767,900.000,893.80,6.60
13.0059,900.000,893.80,6.60
13.0765,900.000,893.80,6.60
13.1079,900.000,893.80,6.70
13.1766,900.000,893.80,6.70
13.2039,900.000,893.80,6.70
13.2764,900.000,893.80,6.70
13.3047,900.000,893.80,6.70
13.3777,900.000,893.80,6.70
13.4033,900.000,893.80,6.70
13.4763,900.000,893.80,6.70
13.5056,900.000,893.80,6.70
13.5765,900.000,893.80,6.70
13.6042,900.000,893.80,6.70
13.6764,900.000,893.80,6.70
13.7057,900.000,893.80,6.70
13.7766,900.000,893.80,6.70
13.8032,900.000,893.80,6.70
13.8783,900.000,893.80,6.70
13.9017,900.000,893.80,6.70
13.9766,900.000,893.80,6.70
14.0048,900.000,893.80,6.70
14.0763,900.000,893.80,6.70
14.1071,900.000,893.80,6.70
14.1765,900.000,893.80,6.70
14.2040,900.000,893.80,6.70
14.2765,900.000,893.80,6.70
14.3061,900.000,893.80,6.70
14.3784,900.000,893.80,6.70
14.4061,900.000,893.80,6.70
14.4768,900.000,893.80,6.70
14.5012,900.000,893.80,6.70
14.5768,900.000,893.80,6.70
14.6054,900.000,893.80,6.70
14.6768,900.000,893.80,6.70
14.7038,900.000,893.80,6.70
14.7768,900.000,893.80,6.70
14.8058,900.000,893.80,6.70
14.8783,900.000,893.80,6.70
14.9021,900.000,893.80,6.70
14.9769,900.000,893.80,6.70
15.0038,900.000,893.80,6.70
15.0767,900.000,893.80,6.70
15.1067,900.000,893.80,6.70
15.1767,900.000,893.80,6.70
15.2053,900.000,893.80,6.70
15.2768,900.000,893.80,6.70
15.3051,900.000,893.80,6.70
15.3779,900.000,893.80,6.70
15.4053,900.000,893.80,6.70
15.4767,900.000,893.80,6.70
15.5024,900.000,893.80,6.70
15.5766,900.000,893.80,6.70
15.6063,900.000,893.80,6.70
15.6766,900.000,893.80,6.70
15.7012,900.000,893.80,6.70
15.7766,900.000,893.80,6.70
15.8055,900.000,893.80,6.70
15.8775,900.000,893.80,6.70
15.9037,900.000,893.80,6.70
15.9766,900.000,893.80,6.70
16.0057,900.000,893.80,6.70
16.0771,900.000,893.80,6.70
16.1053,900.000,893.80,6.70
16.1768,900.000,893.80,6.70
16.2058,900.000,893.80,6.70
16.2769,900.000,893.80,6.70
16.3059,900.000,893.80,6.70
16.3782,900.000,893.80,6.70
16.4048,900.000,893.80,6.70
16.4770,900.000,893.80,6.70
16.5058,900.000,893.80,6.70
16.5768,900.000,893.80,6.70
16.6082,900.000,893.80,6.70
16.6768,900.000,893.80,6.70
16.7057,900.000,893.80,6.70
16.7770,900.000,893.80,6.70
16.8059,900.000,893.80,6.70
16.8783,900.000,893.80,6.70
16.9021,900.000,893.80,6.70
16.9771,900.000,893.80,6.70
17.0032,900.000,893.80,6.70
17.0766,900.000,893.80,6.70
17.1040,900.000,893.80,6.70
17.1784,900.000,893.80,6.70
17.2050,900.000,893.80,6.70
17.2770,900.000,893.80,6.70
17.3060,900.000,893.80,6.70
17.3767,900.000,893.80,6.70
17.4054,900.000,893.80,6.70
17.4770,900.000,893.80,6.70
17.5037,900.000,893.80,6.70
17.5770,900.000,893.80,6.70
17.6044,900.000,893.80,6.70
17.6783,900.000,893.80,6.70
17.7029,900.000,893.80,6.70
17.7767,900.000,893.80,6.70
17.8058,900.000,893.80,6.70
17.8766,900.000,893.80,6.70
17.9070,900.000,893.80,6.70
17.9768,900.000,893.80,6.70
18.0005,900.000,893.80,6.70
18.0770,900.000,893.80,6.70
18.1041,900.000,893.80,6.70
18.1782,900.000,893.80,6.70
18.2038,900.000,893.80,6.70
18.2769,900.000,893.80,6.70
18.3059,900.000,893.80,6.70
18.3769,900.000,893.80,6.70
18.4072,900.000,893.80,6.70
18.4768,900.000,893.80,6.70
18.5056,900.000,893.80,6.70
18.5767,900.000,893.80,6.70
18.6057,900.000,893.80,6.70
18.6778,900.000,893.80,6.70
18.7040,900.000,893.80,6.70
18.7769,900.000,893.80,6.70
18.8059,900.000,893.80,6.70
18.8768,900.000,893.80,6.70
18.9071,900.000,893.80,6.70
18.9767,900.000,893.80,6.70
19.0040,900.000,893.80,6.70
19.0769,900.000,893.80,6.70
19.1014,900.000,893.80,6.70
19.1779,900.000,893.80,6.60
19.2040,900.000,893.80,6.60
19.2771,900.000,893.80,6.60
19.3061,900.000,893.80,6.60
19.3769,900.000,893.80,6.60
19.4013,900.000,893.80,6.60
19.4782,900.000,893.80,6.70
19.5060,900.000,893.80,6.70
19.5771,900.000,893.80,6.70
19.6029,900.000,893.80,6.70
19.6771,900.000,893.80,6.70
19.7046,900.000,893.80,6.70
19.7769,900.000,893.80,6.70
19.8058,900.000,893.80,6.70
19.8768,900.000,893.80,6.70
19.9059,900.000,893.80,6.70
19.9786,900.000,893.80,6.70
20.0008,900.000,893.80,6.70
20.0767,900.000,893.80,6.70
20.1059,900.000,893.80,6.70
